山崎宗鑑,Yamazaki Sōkan ,?-d. 1539-41,1. Muromachi,
荒木田守武,Arakida Moritake,1473 –1549 ,1. Muromachi,
斎藤徳元 ,Saitō Tokugin,1559 - 1647,2. Teimon,
松永貞徳,Matsunaga Teitoku,1571-1654,2. Teimon,
杉木望一,Sugiki Moichi,1586－1643,2. Teimon,
石田未得,Ishida Mitoku,1587 - 1669,2. Teimon,
鶏冠井令徳 ,Kaedei Ryōtoku ,1589-1679,2. Teimon,
高島玄札,Takashima Gensatsu,1594-1676,2. Teimon,
野々口立圃,Nonoguchi Ryūho,1595-1669,2. Teimon,
松江重頼,Matsue Shigeyori,1602-1680 ,2. Teimon,
山本西武,Yamamoto Saimu ,1610 – 1682 ,2. Teimon,
安原貞室,Yasuhara Teishitsu,1610-1673,2. Teimon,
高瀬梅盛,Takase Baisei,1619 - 1702,2. Teimon,
松山玖也,Matsuyama Kyuya,1623－1676,2. Teimon,
北村 季吟,Kitamura Kigin,1625-1705,2. Teimon,
田捨女,Den Sutejo ,1633-1698,2. Teimon,
荻田安静,Ogida Ansei,生年不詳 －1669 ,2. Teimon,
片桐良保 ,Katagiri Ryōho,生没年不詳 ,2. Teimon,
日能　,Nichinō,,2. Teimon,
西山宗因,Nishiyama Sōin,1605—1682,3. Danrin,Founder of Danrin School
内藤風虎,Naitō Fūko,1619 – 1685 ,3. Danrin,
伊藤信徳,Itō Shintoku,1633 – 1698,3. Danrin,
岸本調和,Kishimoto Chōwa,1638 – 1715,3. Danrin,
大淀三千風,Ōyodo Michikaze,1639 – 1707,3. Danrin,
岡西惟中 ,Okanishi Ichū,1639 – 1711,3. Danrin,
井原西鶴,Ihara Saikaku,1642—1693,3. Danrin,
田中常矩 ,Tanaka Tsunenori,1643－1682 ,3. Danrin,
野口在色,Noguchi Zaishiki,1643－1719 ,3. Danrin,
三井秋風,Mitsui Shūfū,1646 -- 1717 ,3. Danrin,
山本荷兮,Yamamoto Kakei,1648－1716,4. Shōmon,
