山崎宗鑑,Yamazaki Sōkan ,Yamazaki Sokan,?-d. 1539-41,1. Muromachi,
荒木田守武,Arakida Moritake,Arakida Moritake,1473 –1549 ,1. Muromachi,
斎藤徳元 ,Saitō Tokugin,Saito Tokugin,1559 - 1647,2. Teimon,
松永貞徳,Matsunaga Teitoku,Matsunaga Teitoku,1571-1654,2. Teimon,
杉木望一,Sugiki Moichi,Sugiki Moichi,1586－1643,2. Teimon,
石田未得,Ishida Mitoku,Ishida Mitoku,1587 - 1669,2. Teimon,
鶏冠井令徳 ,Kaedei Ryōtoku ,Kaedei Ryotoku ,1589-1679,2. Teimon,
高島玄札,Takashima Gensatsu,Takashima Gensatsu,1594-1676,2. Teimon,
野々口立圃,Nonoguchi Ryūho,Nonoguchi Ryuho,1595-1669,2. Teimon,
松江重頼,Matsue Shigeyori,Matsue Shigeyori,1602-1680 ,2. Teimon,
山本西武,Yamamoto Saimu ,Yamamoto Saimu ,1610 – 1682 ,2. Teimon,
安原貞室,Yasuhara Teishitsu,Yasuhara Teishitsu,1610-1673,2. Teimon,
高瀬梅盛,Takase Baisei,Takase Baisei,1619 - 1702,2. Teimon,
松山玖也,Matsuyama Kyuya,Matsuyama Kyuya,1623－1676,2. Teimon,
北村 季吟,Kitamura Kigin,Kitamura Kigin,1625-1705,2. Teimon,
田捨女,Den Sutejo ,Den Sutejo,1633-1698,2. Teimon,
荻田安静,Ogida Ansei,Ogida Ansei,生年不詳 －1669 ,2. Teimon,
片桐良保 ,Katagiri Ryōho,Katagiri Ryoho,生没年不詳 ,2. Teimon,
日能　,Nichinō,Nichino,,2. Teimon,
西山宗因,Nishiyama Sōin,Nishiyama Soin,1605—1682,3. Danrin,Founder of Danrin School
内藤風虎,Naitō Fūko,Naito Fuko,1619 – 1685 ,3. Danrin,
伊藤信徳,Itō Shintoku,Ito Shintoku,1633 – 1698,3. Danrin,
岸本調和,Kishimoto Chōwa,Kishimoto Chowa,1638 – 1715,3. Danrin,
大淀三千風,Ōyodo Michikaze,oyodo Michikaze,1639 – 1707,3. Danrin,
岡西惟中 ,Okanishi Ichū,Okanishi Ichu,1639 – 1711,3. Danrin,
井原西鶴,Ihara Saikaku,Ihara Saikaku,1642—1693,3. Danrin,
田中常矩 ,Tanaka Tsunenori,Tanaka Tsunenori,1643－1682 ,3. Danrin,
野口在色,Noguchi Zaishiki,Noguchi Zaishiki,1643－1719 ,3. Danrin,
三井秋風,Mitsui Shūfū,Mitsui Shufu,1646 -- 1717 ,3. Danrin,
山本荷兮,Yamamoto Kakei,Yamamoto Kakei,1648－1716,4. Shōmon,
江左尚白,Esa Shōhaku,Esa Shohaku,1650–1722,,Physician 近江蕉門
池西 言水,Nishinishi Gonsui,Nishinishi Gonsui,1650 – 1722,3. Danrin,
小西 来山,Konishi Raizan,Konishi Raizan,1654 – 1716,3. Danrin,
椎本才麿,Shiinomoto Saimaro,Shiinomoto Saimaro,1656—1738,3. Danrin,
上島鬼貫,Uejima Onitsura,Uejima Onitsura,1661—1738,3. Danrin,
北条団水,Hōjō Dansui,Hojo Dansui,1663—1711,3. Danrin,
田代松意,Tashiro Syōi,Tashiro Syoi,生没年不詳 ,3. Danrin,
菅野谷高政,Suganoya Takamasa,Suganoya Takamasa,生没年不詳 ,3. Danrin,
水田西吟,Mizuta Saigin,Mizuta Saigin,生没年不詳 —1709,3. Danrin,
日能　,Nichinō,Nichino,,3. Danrin,
山口素堂,Yamaguchi Sodō,Yamaguchi Sodo,1642—1716,4. Shōmon,
松尾芭蕉,Matsuo Bashō,Matsuo Basho,1644 – 1694 ,4. Shōmon,
向井去来,Mukai Kyorai,Mukai Kyorai,1651—1704,4. Shōmon,
服部嵐雪,Hattori Ransetsu,Hattori Ransetsu,1654—1707,4. Shōmon,
宝井其角,Takarai Kikaku,Takarai Kikaku,1661—1707,4. Shōmon,
内藤丈草,Naitō Jōsō,Naito Joso,1662—1704,4. Shōmon,
野沢凡兆,Nozawa Bonchō,Nozawa Boncho,生没年不詳 —1714,4. Shōmon,
中村史邦,Nakamura Fumikuni,Nakamura Fumikuni,生没年不詳 ,4. Shōmon,
杉山杉風,Sugiyama Sanpū,Sugiyama Sanpu,1647～1732 ,4. Shōmon,
山本荷兮,Yamamoto Kakei ,Yamamoto Kakei ,1648～1716 ,4. Shōmon,
榎本其角,Enomoto Kikaku,Enomoto Kikaku,1661-1707 ,4. Shōmon,
各務支考,Kagami Shiko ,Kagami Shiko ,1665～1731 ,4. Shōmon,
森川許六,Morikawa Kyoriku,Morikawa Kyoriku ,1656～1715 ,4. Shōmon,
志太野坡,Shida Yaba,Shida Yaba,1662—1740 ,4. Shōmon,
越智越人,Ochi Etsujin,Ochi Etsujin,1656 - 1739 ,4. Shōmon,
